price,beds,baths,living space,city,state,zip code population,median household income,property_per_100_000,violence_per_100_000,affordability
659999.0,3.0,2.0,1180.0,Bronx,New York,73256.0,98349.0,1440.5,350.5,False
425000.0,2.0,2.0,800.0,Bronx,New York,73256.0,98349.0,1440.5,350.5,False
153000.0,1.0,1.0,725.0,Bronx,New York,73256.0,98349.0,1440.5,350.5,True
345000.0,2.0,1.0,1000.0,Bronx,New York,73256.0,98349.0,1440.5,350.5,True
779000.0,4.0,2.0,1800.0,Bronx,New York,4417.0,155364.0,1440.5,350.5,False
495000.0,2.0,2.0,684.0,Bronx,New York,46205.0,106860.0,1440.5,350.5,False
699999.0,3.0,3.0,1895.0,Bronx,New York,46205.0,106860.0,1440.5,350.5,False
299999.0,2.0,1.0,857.0,Bronx,New York,46205.0,106860.0,1440.5,350.5,True
789000.0,3.0,2.0,1100.0,Bronx,New York,46205.0,106860.0,1440.5,350.5,False
939000.0,7.0,3.0,2961.0,Bronx,New York,75767.0,86762.0,1440.5,350.5,False
525000.0,2.0,1.0,914.0,Bronx,New York,75767.0,86762.0,1440.5,350.5,False
715000.0,3.0,2.0,1408.0,Bronx,New York,75767.0,86762.0,1440.5,350.5,False
550000.0,3.0,2.0,1648.0,Bronx,New York,75767.0,86762.0,1440.5,350.5,False
281111.0,2.0,1.0,975.0,Bronx,New York,102209.0,64960.0,1440.5,350.5,False
165000.0,1.0,1.0,775.0,Bronx,New York,82480.0,57987.0,1440.5,350.5,True
175000.0,1.0,1.0,750.0,Bronx,New York,82480.0,57987.0,1440.5,350.5,True
209900.0,1.0,1.0,760.0,Bronx,New York,82480.0,57987.0,1440.5,350.5,True
209900.0,1.0,1.0,760.0,Bronx,New York,82480.0,57987.0,1440.5,350.5,True
800000.0,7.0,2.0,3080.0,Bronx,New York,75290.0,96953.0,1440.5,350.5,False
610000.0,3.0,2.0,1813.0,Bronx,New York,75290.0,96953.0,1440.5,350.5,False
599000.0,4.0,2.0,1814.0,Bronx,New York,75290.0,96953.0,1440.5,350.5,False
800000.0,7.0,2.0,3080.0,Bronx,New York,75290.0,96953.0,1440.5,350.5,False
999000.0,4.0,3.0,2270.0,Bronx,New York,75290.0,96953.0,1440.5,350.5,False
599999.0,3.0,2.0,1200.0,Bronx,New York,75290.0,96953.0,1440.5,350.5,False
499000.0,2.0,2.0,1350.0,Bronx,New York,16446.0,100670.0,1440.5,350.5,False
255000.0,2.0,1.0,950.0,Bronx,New York,16446.0,100670.0,1440.5,350.5,True
159000.0,1.0,1.0,750.0,Bronx,New York,16446.0,100670.0,1440.5,350.5,True
299999.0,2.0,1.0,1000.0,Bronx,New York,23387.0,149559.0,1440.5,350.5,True
729000.0,3.0,2.0,1500.0,Bronx,New York,23387.0,149559.0,1440.5,350.5,False
975799.0,6.0,4.0,2864.0,Bronx,New York,66720.0,59114.0,1440.5,350.5,False
975799.0,6.0,4.0,2864.0,Bronx,New York,66720.0,59114.0,1440.5,350.5,False
899000.0,6.0,3.0,2522.0,Bronx,New York,66720.0,59114.0,1440.5,350.5,False
834000.0,6.0,3.0,2950.0,Bronx,New York,66720.0,59114.0,1440.5,350.5,False
750000.0,5.0,2.0,2604.0,Bronx,New York,60296.0,73681.0,1440.5,350.5,False
280000.0,2.0,2.0,868.0,Bronx,New York,60296.0,73681.0,1440.5,350.5,True
260000.0,2.0,1.0,916.0,Bronx,New York,44509.0,69530.0,1440.5,350.5,True
750000.0,3.0,2.0,1697.0,Floral Park,New York,26818.0,179321.0,1440.5,350.5,False
249900.0,1.0,1.0,585.0,Glen Oaks,New York,16426.0,129799.0,1440.5,350.5,True
449000.0,1.0,2.0,1213.0,Floral Park,New York,2075.0,288837.0,1440.5,350.5,True
695000.0,2.0,3.0,1549.0,Floral Park,New York,2075.0,288837.0,1440.5,350.5,True
695000.0,2.0,3.0,1549.0,Floral Park,New York,2075.0,288837.0,1440.5,350.5,True
1049000.0,3.0,2.0,1494.0,Astoria,New York,35912.0,129759.0,1440.5,350.5,False
270000.0,2.0,1.0,700.0,Astoria,New York,38311.0,119098.0,1440.5,350.5,True
270000.0,2.0,1.0,700.0,Astoria,New York,38311.0,119098.0,1440.5,350.5,True
375000.0,1.0,1.0,700.0,Astoria,New York,40472.0,110391.0,1440.5,350.5,True
385000.0,1.0,1.0,700.0,Astoria,New York,40472.0,110391.0,1440.5,350.5,True
385000.0,1.0,1.0,700.0,Astoria,New York,40472.0,110391.0,1440.5,350.5,True
800000.0,2.0,2.0,1050.0,Long Island City,New York,6712.0,229013.0,1440.5,350.5,True
850000.0,2.0,2.0,1003.0,Long Island City,New York,6712.0,229013.0,1440.5,350.5,True
747999.0,2.0,2.0,1103.0,Long Island City,New York,6712.0,229013.0,1440.5,350.5,True
925000.0,2.0,1.0,1200.0,Brooklyn,New York,68777.0,232020.0,1440.5,350.5,True
895000.0,2.0,1.0,900.0,Brooklyn,New York,68777.0,232020.0,1440.5,350.5,True
895000.0,2.0,1.0,900.0,Brooklyn,New York,68777.0,232020.0,1440.5,350.5,True
949000.0,4.0,3.0,2217.0,Brooklyn,New York,79499.0,89068.0,1440.5,350.5,False
849000.0,5.0,3.0,1920.0,Brooklyn,New York,79499.0,89068.0,1440.5,350.5,False
949000.0,4.0,3.0,2217.0,Brooklyn,New York,79499.0,89068.0,1440.5,350.5,False
949900.0,3.0,2.0,1404.0,Brooklyn,New York,82140.0,83981.0,1440.5,350.5,False
1080000.0,4.0,3.0,1692.0,Brooklyn,New York,82140.0,83981.0,1440.5,350.5,False
755777.0,4.0,3.0,1830.0,Brooklyn,New York,97690.0,71269.0,1440.5,350.5,False
549999.0,2.0,1.0,1088.0,Brooklyn,New York,97690.0,71269.0,1440.5,350.5,False
925000.0,6.0,3.0,2880.0,Brooklyn,New York,97690.0,71269.0,1440.5,350.5,False
439000.0,2.0,2.0,836.0,Brooklyn,New York,97690.0,71269.0,1440.5,350.5,False
449944.0,2.0,1.0,889.0,Brooklyn,New York,107724.0,76161.0,1440.5,350.5,False
636000.0,5.0,3.0,2000.0,Brooklyn,New York,107724.0,76161.0,1440.5,350.5,False
359000.0,1.0,1.0,800.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,True
3000.0,3.0,1.0,2200.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,True
398000.0,1.0,1.0,1073.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,True
1100000.0,4.0,3.0,1980.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,False
368000.0,1.0,1.0,800.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,True
1100000.0,4.0,3.0,1600.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,False
389000.0,1.0,1.0,800.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,True
3000.0,3.0,2.0,1100.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,True
499000.0,2.0,1.0,825.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,True
2500.0,2.0,1.0,700.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,True
509000.0,2.0,2.0,1100.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,False
